Entity_name,Entity_id
김맹성,E0009098
염제신,E0037142
이인영,E0045622
안식,E0034849
민무구,E0020099
민무질,E0020102
의안군,E0043315
신극례,E0032707
마천목,E0017466
문빈,E0019494
서익,E0028127
천우,E0055977
영공,E0037197
하경덕,E0060527
유병기,E0041453
정영국,E0050595
정유,E0050683
장자목,E0048770
유자광,E0041774
김겸,E0008619
전흥,E0049780
남경우,E0011770
유은지,E0041732
문학수,E0071606
유총,E0041905
오천근,E0038565
유원지,E0041715
고창일,E0003994
강택진,E0001456
유연,E0041659
박기,E0070438
목인해,E0018670
김정준,E0010415
박미,E0020707
장윤화,E0048739
이등,E0044099
평양공,E0059942
조홍립,E0052772
한규,E0061499
김을한,E0010134
정이오,E0050774
허성,E0063081
황재경,E0073735
장유,E0048727
강중경,E0001398
이귀생,E0043764
심도원,E0033765
박령,E0020664
백신애,E0022189
덕비,E0015342
박송비,E0020828
윤곤,E0042210
최백,E0057308
백영,E0022230
성현,E0029691
김수,E0009543
유조생,E0041820
매창,E0017994
윤심,E0042441
