Entity_name,Entity_id
민무회,E0020103
구종지,E0006038
유기,E0041306
김면,E0009101
이전,E0045777
이은,E0045473
이통,E0046348
이주,E0045963
박상충,E0020758
이하,E0046377
박훤,E0021400
박강,E0020504
조뢰,E0051713
유덕삼,E0041343
한림,E0061577
노병대,E0012745
인수,E0046948
박등흔,E0020659
송염,E0070677
정순,E0050468
윤돈,E0042279
이영,E0045175
김우생,E0009993
절거리,E0049784
김인,E0010231
불덕,E0024960
송우,E0030967
박곤,E0020543
전향,E0049752
진로,E0054667
성기,E0029217
윤환,E0042701
이덕남,E0043987
권무중,E0006908
정축,E0051009
금성규,E0007851
전상의,E0049468
정미수,E0050213
우제,E0040101
독고립,E0015944
정유,E0050683
정해,E0051105
뇌음신,E0013221
개로왕,E0001616
신좌모,E0033384
졸지,E0052878
능귀문,E0013329
작진,E0048149
광주원부인,E0005281
공서린,E0004345
배윤,E0021908
정갑손,E0049902
이상흥,E0044638
영유,E0037617
최순,E0057424
김기,E0008813
송저,E0031031
홍서주,E0064148
김효거,E0011122
이진,E0046098
조주,E0052620
남지,E0012170
임회,E0047766
이의,E0045510
이강,E0043489
신숙,E0033133
박전,E0021117
소승규,E0030151
최용소,E0057500
제정구,E0051393
민정,E0020248
성대영,E0029260
하겸락,E0060525
송자청,E0031025
최유원,E0057543
성봉조,E0029334
장득만,E0048400
조종생,E0052611
배소,E0021889
이중,E0046006
오몽을,E0038240
박포,E0021326
장지화,E0048809
조박,E0051772
정흠지,E0051205
안길,E0034561
주수봉,E0053324
문선교,E0019517
조기,E0051638
이근,E0043812
박임상,E0021092
성여완,E0029447
이제현,E0045877
신돈,E0032783
양백연,E0035527
박융,E0021022
이길배,E0043896
성헌징,E0029690
기우만,E0008361
위문개,E0041140
김사신,E0079328
박한경,E0021346
정영국,E0050595
정인,E0050784
원재명,E0040801
성염조,E0029449
남계영,E0011780
김득상,E0009033
곽선,E0004665
김부,E0009273
성언근,E0029443
허금,E0063032
인정,E0047014
이세형,E0044789
임철호,E0074837
서윤련,E0028121
조인규,E0052518
김화경,E0011100
유공권,E0041261
한수,E0061774
신철,E0033446
유만수,E0070607
우현보,E0040183
이조,E0045883
신재덕,E0033334
안정,E0034983
보정,E0023526
유신,E0041615
박중림,E0021196
안완경,E0034911
이허겸,E0046466
박연,E0020922
유흥수,E0078572
낭오,E0012368
김삼개,E0009319
봉천상,E0024033
안영,E0034905
서의배,E0028124
어계선,E0035895
민심언,E0020167
윤구,E0042229
유순,E0041588
윤상,E0042372
유명견,E0041407
김용하,E0009978
곽규석,E0004647
이변,E0044379
유직,E0041850
이중경,E0046007
수의,E0031636
김수,E0009543
김언,E0009782
이극복,E0043807
김자경,E0010293
조서강,E0051883
윤길,E0042255
임수간,E0047497
김용,E0009932
정구진,E0049985
전예용,E0049533
김동건,E0008981
홍수,E0064192
강상국,E0001186
장수왕,E0048605
전형필,E0049756
김광수,E0008706
윤수,E0042414
김숙자,E0009596
조진,E0052659
신감,E0032609
고약해,E0003807
이명의,E0044235
박성,E0020784
이철,E0046231
최득비,E0057267
유계문,E0041249
진수방,E0074295
이장,E0045696
구중회,E0074901
윤중부,E0042581
이설,E0044698
김녹연,E0008881
박의,E0021038
김중건,E0010567
김처선,E0010736
정용근,E0050625
윤복,E0042341
옥고,E0038661
이귀생,E0043764
대렴,E0014306
정성,E0050411
만종,E0017718
손석,E0070484
정공권,E0049938
박자,E0021095
소헌왕후,E0030354
손유,E0030550
이명신,E0044223
노구산,E0012652
박경,E0020517
김희주,E0011194
감경인,E0000689
황희석,E0065421
전봉건,E0049435
강극성,E0001006
박금슬,E0074329
권충,E0007114
지봉,E0054213
권호문,E0007138
법정,E0022706
권희,E0007151
호종단,E0063862
정석,E0050365
강주,E0001391
노현용,E0012939
김연,E0009809
현일,E0063401
천인,E0055996
유방,E0041438
김반,E0009170
이문,E0044273
구준원,E0006048
조운,E0052435
성종,E0029554
정총,E0051007
이선제,E0044693
이인복,E0045604
목종,E0018693
혜왕,E0063622
중종,E0053932
정왕,E0050622
혜종,E0063639
강신,E0001263
