"통합메타데이터 ID","전문센터ID","역통 대분류","DB정보","전문센터 메타데이터","제목","대체제목","원자료의 발신자","원자료의 편찬자","원자료의 작성자","역통 중분류","역통 소분류","전문센터주제분류","자료유형","기사레벨","발행자","파일형식","목차","초록","상위자료아이디","상위자료","의존자료","사건발생일","원자료생성일","원자료발행일","발행일","생성일","갱신일","연계주소","저자정렬","날짜정렬",
"KH.AKS.C0000045","AKS","KH.11.01.000","한국사기초사전","C0000045","삼국시대(三國時代)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","삼국시대 초기의 지도","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000045</get>                </url>","","",
"KH.AKS.C0000046","AKS","KH.11.01.000","한국사기초사전","C0000046","삼국유사(三國遺事)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","일연 지음. 규장각도서. 왕력 부분.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000046</get>                </url>","","",
"KH.AKS.C0000047","AKS","KH.11.01.000","한국사기초사전","C0000047","석보상절(釋譜詳節)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","세조 엮음. 동국대학교도서관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000047</get>                </url>","","",
"KH.AKS.C0000048","AKS","KH.11.01.000","한국사기초사전","C0000048","마라난타(摩羅難陀)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000048</get>                </url>","","",
"KH.AKS.C0000049","AKS","KH.11.01.000","한국사기초사전","C0000049","성삼문(成三問)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","사육신묘중 성삼문묘. 서울 동작구 노량진동.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000049</get>                </url>","","",
"KH.AKS.C0000050","AKS","KH.11.01.000","한국사기초사전","C0000050","성현(成俔)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","《한국역대명인필적》에서.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000050</get>                </url>","","",
"KH.AKS.C0000051","AKS","KH.11.01.000","한국사기초사전","C0000051","교종선(敎宗選)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000051</get>                </url>","","",
"KH.AKS.C0000052","AKS","KH.11.01.000","한국사기초사전","C0000052","송익필(宋翼弼)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000052</get>                </url>","","",
"KH.AKS.C0000053","AKS","KH.11.01.000","한국사기초사전","C0000053","송준길(宋浚吉)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000053</get>                </url>","","",
"KH.AKS.C0000054","AKS","KH.11.01.000","한국사기초사전","C0000054","앙부일구(仰釜日晷)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","1434년. 경기 여주군 영릉전시관 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000054</get>                </url>","","",
"KH.AKS.C0000055","AKS","KH.11.01.000","한국사기초사전","C0000055","애국부인전(愛國夫人傳)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000055</get>                </url>","","",
"KH.AKS.C0000056","AKS","KH.11.01.000","한국사기초사전","C0000056","언문지(諺文志)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000056</get>                </url>","","",
"KH.AKS.C0000057","AKS","KH.11.01.000","한국사기초사전","C0000057","각훈(覺訓)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000057</get>                </url>","","",
"KH.AKS.C0000058","AKS","KH.11.01.000","한국사기초사전","C0000058","용감수경(龍龕手鏡)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","행균 엮음. 목판본. 고려대학교 아세아문제연구소 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000058</get>                </url>","","",
"KH.AKS.C0000059","AKS","KH.11.01.000","한국사기초사전","C0000059","월인석보(月印釋譜)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","중간본. 권 21권의 변상도. 개인 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000059</get>                </url>","","",
"KH.AKS.C0000060","AKS","KH.11.01.000","한국사기초사전","C0000060","월인천강지곡(月印千江之曲)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","활자본. 《월인석보》에서. 첫부분.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000060</get>                </url>","","",
"KH.AKS.C0000061","AKS","KH.11.01.000","한국사기초사전","C0000061","은세계(銀世界)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000061</get>                </url>","","",
"KH.AKS.C0000062","AKS","KH.11.01.000","한국사기초사전","C0000062","겸익(謙益)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000062</get>                </url>","","",
"KH.AKS.C0000063","AKS","KH.11.01.000","한국사기초사전","C0000063","도선(道詵)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000063</get>                </url>","","",
"KH.AKS.C0000064","AKS","KH.11.01.000","한국사기초사전","C0000064","임꺽정(林巨正)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000064</get>                </url>","","",
"KH.AKS.C0000065","AKS","KH.11.01.000","한국사기초사전","C0000065","자격루(自擊漏)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","보루각자격루. 서울 덕수궁 소장.","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000065</get>                </url>","","",
"KH.AKS.C0000066","AKS","KH.11.01.000","한국사기초사전","C0000066","자유종(自由鐘)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000066</get>                </url>","","",
"KH.AKS.C0000067","AKS","KH.11.01.000","한국사기초사전","C0000067","정음청(正音廳)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000067</get>                </url>","","",
"KH.AKS.C0000068","AKS","KH.11.01.000","한국사기초사전","C0000068","정종(定宗)","","","","","KH.11","KH.11.01","cc","","2","","test/xml","","","","","","","","","2007-11-29 00:00:00","1900-01-01 00:00:00","2008-04-21 00:00:00","<url>                    <get>http://yoksa.aks.ac.kr/jsp/cc/View.jsp?cc10id=C0000068</get>                </url>","","",
